═══════════════════════════════════════════
  Prime+Probe — RPi3 Cortex-A53
═══════════════════════════════════════════
Cache:         512KB, 16-way, 512 sets
Set stride:    32768 B
Buffer:        544 KB
Monitored sets:32
Threshold:     180 ns
Rounds:        500

[+] Buffer: 544KB at 0xffffb3948000
[+] HPC counters active on core 1

Round,Evicted_Sets,HPC_Misses,HPC_Refs,Miss_Rate_Pct,Cycles,Instructions,Avg_Probe_ns,Status
206,0,898,208497,0.43,1414289,1098569,83,NORMAL
207,0,371,209309,0.18,1422054,1140572,76,NORMAL
208,0,338,208088,0.16,1413926,1136695,81,NORMAL
209,0,354,205111,0.17,1413268,1124786,78,NORMAL
210,0,469,207704,0.23,1419776,1132883,78,NORMAL
211,0,323,207764,0.16,1412622,1134938,74,NORMAL
212,0,263,207159,0.13,1413226,1140926,79,NORMAL
213,0,494,197164,0.25,1419308,1085304,81,NORMAL
214,0,424,205385,0.21,1410913,1129200,81,NORMAL
215,0,472,216959,0.22,1471742,1179135,78,NORMAL
216,0,363,208804,0.17,1415354,1140181,79,NORMAL
217,0,365,203140,0.18,1413568,1114478,76,NORMAL
218,0,274,208451,0.13,1419443,1144163,74,NORMAL
219,0,305,207760,0.15,1413231,1136001,73,NORMAL
220,0,298,208396,0.14,1412808,1137196,79,NORMAL
221,0,736,195835,0.38,1421519,1079275,78,NORMAL
222,0,381,208073,0.18,1413579,1136278,76,NORMAL
223,0,279,209250,0.13,1420448,1142103,76,NORMAL
224,0,627,212826,0.29,1421609,1125339,79,NORMAL
225,1,461,201308,0.23,1416597,1104774,79,NORMAL
226,0,435,210832,0.21,1436570,1154698,76,NORMAL
227,0,300,209562,0.14,1413632,1136177,81,NORMAL
228,0,274,207500,0.13,1412521,1139873,78,NORMAL
229,0,603,192187,0.31,1420190,1066218,83,NORMAL
230,0,328,208894,0.16,1413653,1136640,73,NORMAL
231,0,287,207250,0.14,1412457,1138166,76,NORMAL
232,0,427,211190,0.20,1433643,1149708,74,NORMAL
233,0,410,203496,0.20,1413840,1113647,74,NORMAL
234,0,289,207453,0.14,1412327,1140694,78,NORMAL
235,0,291,208176,0.14,1412560,1136903,73,NORMAL
236,0,396,199327,0.20,1412851,1105820,73,NORMAL
237,0,664,206805,0.32,1442250,1126708,74,NORMAL
238,0,390,208955,0.19,1414102,1133318,79,NORMAL
239,0,351,210887,0.17,1412902,1139838,81,NORMAL
240,0,397,204972,0.19,1418865,1123390,81,NORMAL
241,0,364,210330,0.17,1439553,1156060,81,NORMAL
242,0,260,208180,0.12,1412996,1146080,76,NORMAL
243,0,396,211917,0.19,1436048,1145807,74,NORMAL
244,0,646,194625,0.33,1413636,1072200,74,NORMAL
245,0,470,207970,0.23,1413540,1131708,79,NORMAL
246,0,383,218963,0.17,1492005,1200454,76,NORMAL
247,0,294,208533,0.14,1413643,1137863,76,NORMAL
248,0,554,204378,0.27,1420150,1119364,79,NORMAL
249,0,300,207677,0.14,1412992,1136809,74,NORMAL
250,0,656,212577,0.31,1412135,1125742,76,NORMAL
251,0,356,207808,0.17,1412456,1135542,74,NORMAL
252,0,614,193635,0.32,1413677,1069221,83,NORMAL
253,0,534,211075,0.25,1429857,1147166,81,NORMAL
254,0,350,209479,0.17,1421276,1141017,74,NORMAL
255,0,288,207570,0.14,1413497,1138722,81,NORMAL
256,0,386,203903,0.19,1419601,1122014,74,NORMAL
257,0,283,207979,0.14,1412271,1140213,73,NORMAL
258,0,244,207625,0.12,1412083,1137279,81,NORMAL
259,0,779,215515,0.36,1421522,1131668,74,NORMAL
260,0,743,194078,0.38,1413300,1069480,78,NORMAL
261,0,649,213176,0.30,1414431,1126281,83,NORMAL
262,0,387,207625,0.19,1415117,1136971,69,NORMAL
263,0,301,208046,0.14,1413218,1140209,78,NORMAL
264,0,563,207316,0.27,1436588,1129008,76,NORMAL
265,0,344,208730,0.16,1420814,1141698,74,NORMAL
266,0,291,208137,0.14,1412237,1136499,71,NORMAL
267,0,363,200249,0.18,1418960,1113612,78,NORMAL
268,0,913,206934,0.44,1412343,1091955,83,NORMAL
269,0,359,207936,0.17,1412894,1136097,79,NORMAL
270,0,436,209976,0.21,1419401,1139659,78,NORMAL
271,0,391,206022,0.19,1412154,1125582,78,NORMAL
272,0,349,204090,0.17,1413000,1126743,76,NORMAL
273,0,272,208942,0.13,1419031,1144316,78,NORMAL
274,0,259,207964,0.12,1412358,1137441,81,NORMAL
275,0,518,204181,0.25,1462384,1115556,78,NORMAL
276,0,654,209136,0.31,1436192,1146599,78,NORMAL
277,0,291,207825,0.14,1414586,1141215,81,NORMAL
278,0,282,209179,0.13,1419372,1143388,76,NORMAL
279,0,371,202825,0.18,1413217,1115171,79,NORMAL
280,0,285,207987,0.14,1412645,1136578,74,NORMAL
281,0,434,209993,0.21,1421077,1141041,76,NORMAL
282,0,278,207992,0.13,1412726,1136489,81,NORMAL
283,0,569,194160,0.29,1412957,1076567,68,NORMAL
284,0,333,207452,0.16,1412857,1136394,74,NORMAL
285,0,323,212111,0.15,1440567,1162926,76,NORMAL
286,0,414,212628,0.19,1441840,1154663,76,NORMAL
287,0,450,202683,0.22,1413420,1114879,78,NORMAL
288,0,304,208098,0.15,1412361,1136914,73,NORMAL
289,0,293,208378,0.14,1419529,1145803,84,NORMAL
290,0,266,208615,0.13,1412473,1136635,76,NORMAL
291,0,597,193370,0.31,1412854,1075574,79,NORMAL
292,0,479,212883,0.23,1438851,1152159,78,NORMAL
293,0,350,208100,0.17,1414191,1135474,79,NORMAL
294,0,689,213237,0.32,1413417,1131789,74,NORMAL
295,0,446,203266,0.22,1414667,1112998,79,NORMAL
296,0,302,207547,0.15,1412401,1137095,83,NORMAL
297,0,437,213269,0.20,1441410,1158976,76,NORMAL
298,0,403,196360,0.21,1413906,1098222,69,NORMAL
299,0,607,204898,0.30,1413767,1111688,78,NORMAL
300,0,328,209001,0.16,1419699,1142679,78,NORMAL
301,0,311,208104,0.15,1412789,1138608,81,NORMAL
302,0,347,202962,0.17,1413193,1114867,76,NORMAL
303,0,885,216690,0.41,1435491,1144944,78,NORMAL
304,0,370,208598,0.18,1417433,1136804,78,NORMAL
